account,symbol,quantity
account28041,MCK,126332.542
account28029,MPWR,113699.288
account28066,DEA,102329.359
account28029,EXPD,92096.423
account28029,NTAP,82886.781
account28029,OPCH,74598.103
account28069,CCAP,67138.292
account28068,AVGO,60424.463
account28041,ROK,54382.017
account28041,GEMD,48943.815
account28041,GPN,44049.434
account28041,ONL,39644.490
account28041,OPCH,35680.041
account28029,ABVC,32112.037
account28067,AVGO,28900.833
account28041,ROK,26010.750
account28065,MA,23409.675
account28071,ABVC,21068.708
account28016,LOVE,18961.837
account28041,DECK,13273.286
account28041,AVGO,9291.300
account28041,EMN,6503.910
account28016,COST,4552.737
account28016,JMBRF,3186.916
account28041,PK,2230.841
account28041,LAD,1561.589
account28016,ABVC,1093.112
account28016,AVSC,765.179
account28066,AVGO,535.625
account28065,AVGO,374.937
account28041,ABVC,262.456
account28065,ABVC,183.719
account28016,NTAP,128.604
account28065,RJF,25.721
account28016,CVGW,5.144
account28070,AVGO,1.029
account28016,TROW,0.206
account28016,CMMB,0.041
account28065,ZBH,0.008
account28041,CTSH,0.002
account28071,IDXX,0.002
account28071,AVGO,0.004
account28016,GLDM,0.006
account28016,AVGO,0.008
account28016,LNTH,0.013
account28029,TWLO,0.019
account28041,ZM,0.028
account28041,GILD,0.042
account28041,LAD,0.063
